k,ncp
2,23.10
3,23.09
4,23.10
5,23.08
6,23.07
7,23.08
8,23.07
9,23.06
10,23.07
11,23.08
12,23.02
13,23.06
14,23.07
15,23.05
16,22.99
17,22.96
18,22.95
19,22.96
20,22.97
21,23.03
22,22.95
23,22.92
24,22.88
25,22.86
26,22.90
27,22.85
28,22.84
29,22.89
30,22.83
31,22.91
32,22.81
33,22.83
34,22.79
35,22.80
36,22.79
37,22.88
38,22.76
39,22.73
40,22.82
41,22.75
42,22.77
43,22.88
44,22.89
45,22.81
46,22.83
47,22.77
48,22.74
49,22.82
50,22.82
51,22.63
52,22.79
53,22.77
54,22.81
55,22.87
56,22.87
57,22.92
58,22.93
59,22.71
60,22.85
61,22.82
62,22.89
63,22.64
64,22.80
65,22.72
66,22.64
67,22.69
68,22.63
69,22.76
70,22.73
71,22.54
72,22.33
73,22.68
74,22.78
75,22.72
76,22.55
77,22.76
78,22.78
79,22.81
80,22.53
81,22.62
82,22.60
83,22.70
84,22.43
85,22.54
86,22.48
87,22.47
88,22.48
89,22.37
90,22.80
91,22.66
92,22.58
93,22.82
94,22.73
95,22.78
96,22.49
97,22.67
98,22.65
99,22.85
100,22.82
