k,ncp
2,23.14
3,23.18
4,23.18
5,23.19
6,23.20
7,23.20
8,23.22
9,23.23
10,23.23
11,23.23
12,23.24
13,23.24
14,23.23
15,23.23
16,23.24
17,23.24
18,23.23
19,23.25
20,23.27
21,23.25
22,23.27
23,23.25
24,23.27
25,23.29
26,23.27
27,23.25
28,23.28
29,23.30
30,23.29
31,23.29
32,23.28
33,23.27
34,23.33
35,23.34
36,23.29
37,23.30
38,23.34
39,23.31
40,23.32
41,23.35
42,23.32
43,23.31
44,23.29
45,23.31
46,23.36
47,23.40
48,23.39
49,23.33
50,23.36
51,23.33
52,23.34
53,23.41
54,23.35
55,23.43
56,23.27
57,23.38
58,23.34
59,23.32
60,23.35
61,23.41
62,23.42
63,23.35
64,23.46
65,23.45
66,23.45
67,23.36
68,23.33
69,23.34
70,23.41
71,23.35
72,23.37
73,23.42
74,23.38
75,23.40
76,23.30
77,23.42
78,23.33
79,23.42
80,23.46
81,23.40
82,23.44
83,23.51
84,23.45
85,23.51
86,23.52
87,23.52
88,23.48
89,23.41
90,23.48
91,23.42
92,23.34
93,23.65
94,23.52
95,23.38
96,23.53
97,23.42
98,23.56
99,23.47
100,23.46
2,23.13
3,23.15
4,23.16
5,23.17
6,23.17
7,23.19
8,23.19
9,23.21
10,23.20
11,23.21
12,23.22
13,23.24
2,23.13
3,23.15
4,23.16
5,23.17
6,23.17
7,23.19
8,23.19
9,23.21
10,23.20
11,23.21
12,23.22
13,23.24
14,23.22
15,23.21
16,23.22
17,23.24
18,23.25
19,23.28
20,23.26
21,23.30
22,23.26
23,23.28
24,23.24
25,23.26
26,23.27
27,23.26
28,23.25
29,23.28
30,23.27
31,23.28
32,23.31
33,23.33
34,23.33
35,23.31
36,23.27
37,23.29
38,23.31
39,23.27
40,23.27
41,23.30
42,23.35
43,23.33
44,23.32
45,23.34
46,23.34
47,23.35
48,23.34
49,23.40
50,23.34
51,23.30
52,23.28
53,23.37
54,23.36
55,23.36
56,23.35
57,23.31
58,23.31
59,23.37
60,23.34
61,23.35
62,23.32
63,23.29
64,23.37
65,23.41
66,23.32
67,23.33
68,23.34
69,23.38
70,23.39
71,23.26
72,23.35
73,23.38
74,23.37
75,23.48
76,23.38
77,23.54
78,23.40
79,23.49
80,23.35
81,23.32
82,23.40
83,23.46
84,23.41
85,23.33
86,23.36
87,23.28
88,23.36
89,23.41
90,23.41
91,23.40
92,23.39
93,23.49
94,23.46
95,23.41
96,23.33
97,23.51
98,23.45
99,23.47
100,23.44
