k,ncp
2,23.13
3,23.15
4,23.16
5,23.17
6,23.17
7,23.19
8,23.19
9,23.21
10,23.20
11,23.21
12,23.22
13,23.24
14,23.22
15,23.21
16,23.22
17,23.24
18,23.25
19,23.28
20,23.26
21,23.30
22,23.26
23,23.28
24,23.24
25,23.26
26,23.27
27,23.26
28,23.25
29,23.28
30,23.27
31,23.28
32,23.31
33,23.33
34,23.33
35,23.31
36,23.27
37,23.29
38,23.31
39,23.27
40,23.27
41,23.30
42,23.35
43,23.33
44,23.32
45,23.34
46,23.34
47,23.35
48,23.34
49,23.40
50,23.34
51,23.30
52,23.28
53,23.37
54,23.36
55,23.36
56,23.35
57,23.31
58,23.31
59,23.37
60,23.34
61,23.35
62,23.32
63,23.29
64,23.37
65,23.41
66,23.32
67,23.33
68,23.34
69,23.38
70,23.39
71,23.26
72,23.35
73,23.38
74,23.37
75,23.48
76,23.38
77,23.54
78,23.40
79,23.49
80,23.35
81,23.32
82,23.40
83,23.46
84,23.41
85,23.33
86,23.36
87,23.28
88,23.36
89,23.41
90,23.41
91,23.40
92,23.39
93,23.49
94,23.46
95,23.41
96,23.33
97,23.51
98,23.45
99,23.47
100,23.44
