sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,20-39,White,spouse not present,Higher education,North America,State-gov,Other,<=50K
Male,40-49,White,Married-civ-spouse,Bachelors,*,Self-emp-not-inc,Nontechnical,<=50K
Male,35-39,White,spouse not present,High School,*,*,Handlers-cleaners,<=50K
Male,40-59,Black,Married-civ-spouse,*,North America,Non-Government,Handlers-cleaners,<=50K
Female,20-29,Black,Married-civ-spouse,Higher education,North America,*,*,<=50K
Female,35-39,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,<=50K
Female,45-49,Black,spouse not present,High School,*,Private,Other,<=50K
Male,50-54,White,Married-civ-spouse,High School,*,Self-emp-not-inc,Nontechnical,>50K
Female,30-39,White,spouse not present,Graduate,*,Non-Government,Technical,>50K
Male,42,White,Married-civ-spouse,Bachelors,United-States,Private,Nontechnical,>50K
Male,20-39,Black,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
Male,20-39,Asian-Pac-Islander,Married-civ-spouse,*,*,Government,*,>50K
Female,23,White,spouse not present,Higher education,*,Non-Government,Other,<=50K
Male,20-39,Black,spouse not present,Higher education,North America,Non-Government,Sales,<=50K
Male,30-39,Amer-Indian-Eskimo,Married-civ-spouse,*,North America,*,*,<=50K
Male,25,White,spouse not present,High School,*,Non-Government,Other,<=50K
Male,32,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,35-39,White,Married-civ-spouse,High School,*,Private,Sales,<=50K
Female,40-59,White,spouse not present,Graduate,United-States,Non-Government,Nontechnical,>50K
Male,30-39,White,Married-civ-spouse,Doctorate,*,Non-Government,Prof-specialty,>50K
Female,50-54,Black,spouse not present,*,North America,Non-Government,Other,<=50K
Male,30-39,Black,Married-civ-spouse,High School,North America,*,Other,<=50K
Male,40-44,White,Married-civ-spouse,High School,*,Private,Other,<=50K
Female,55-59,White,spouse not present,High School,*,Non-Government,Technical,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Local-gov,Technical,>50K
Male,19,*,Never-married,*,*,*,Technical,<=50K
Male,30-39,White,spouse not present,High School,*,*,Exec-managerial,<=50K
Male,49,White,Married-civ-spouse,High School,North America,Private,Technical,<=50K
Male,20-29,White,spouse not present,Higher education,*,Local-gov,Other,<=50K
Male,20,*,spouse not present,*,*,*,Nontechnical,<=50K
Male,40-44,White,spouse not present,Bachelors,*,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,*,Government,Adm-clerical,<=50K
Male,20-39,Black,Married-civ-spouse,Higher education,*,Government,*,<=50K
Male,45-49,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,20-29,White,spouse not present,Undergraduate,*,Non-Government,Machine-op-inspct,<=50K
Female,19,*,*,High School,*,Non-Government,Other,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,*,Self-emp-not-inc,Technical,<=50K
Male,20-39,White,Married-civ-spouse,9th,*,Non-Government,Technical,<=50K
Male,50-59,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-not-inc,Technical,<=50K
Male,20-29,White,Married-civ-spouse,Undergraduate,United-States,Private,Tech-support,<=50K
Female,45-49,White,spouse not present,High School,*,Private,Other,<=50K
Male,20-24,White,spouse not present,High School,*,*,Handlers-cleaners,<=50K
Male,50-59,Black,Married-civ-spouse,Higher education,United-States,Government,*,>50K
Male,53,White,Married-civ-spouse,High School,North America,Private,Technical,<=50K
Female,40-59,White,spouse not present,Graduate,United-States,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,*,Government,Technical,<=50K
Male,20-29,White,spouse not present,Professional Education,*,Non-Government,Prof-specialty,<=50K
Female,20-29,Other,*,*,*,*,*,<=50K
Female,45-49,White,Married-civ-spouse,*,*,*,Technical,>50K
Male,40-59,White,spouse not present,Higher education,*,Government,Nontechnical,>50K
Male,40-59,White,spouse not present,High School,*,Non-Government,Exec-managerial,<=50K
Male,40-49,White,Married-civ-spouse,Some-college,United-States,Private,Tech-support,>50K
Male,45-49,White,Married-civ-spouse,Primary School,*,*,*,<=50K
Male,30-34,White,Married-civ-spouse,Higher education,*,*,Other-service,<=50K
Male,40-44,White,Married-civ-spouse,High School,*,Private,Other,<=50K
Male,25-29,White,Married-civ-spouse,HS-grad,*,Non-Government,Machine-op-inspct,<=50K
Male,20-29,White,Married-civ-spouse,Bachelors,*,Private,Sales,<=50K
Male,45-49,White,Married-civ-spouse,High School,*,Private,Other,<=50K
Male,40-44,White,Married-civ-spouse,Doctorate,*,Non-Government,Prof-specialty,>50K
Male,20-29,White,spouse not present,Some-college,North America,Non-Government,Tech-support,<=50K
Male,36,White,Married-civ-spouse,HS-grad,*,Non-Government,Craft-repair,<=50K
Female,28,White,spouse not present,Higher education,*,Private,Other,<=50K
Female,50-54,White,Married-civ-spouse,*,*,*,Other,>50K
Male,40-49,White,Married-civ-spouse,Some-college,*,Self-emp-inc,Exec-managerial,>50K
Male,19,*,Never-married,*,*,*,Technical,<=50K
Female,30-34,Black,spouse not present,*,*,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,*,Self-emp-not-inc,Sales,>50K
