k,ncp
2,4.26
3,8.01
4,11.12
5,13.33
6,15.08
7,17.57
8,18.88
9,20.58
10,21.32
11,22.0
12,23.17
13,24.2
14,25.22
15,25.7
16,26.2
17,26.77
18,27.48
19,28.63
20,29.45
21,29.74
22,31.2
23,31.73
24,32.17
25,33.93
26,34.22
27,34.55
28,35.25
29,35.49
30,35.89
31,36.04
32,36.38
33,37.25
34,37.83
35,38.08
36,38.83
37,38.99
38,39.17
39,39.22
40,42.24
41,42.35
42,42.63
43,42.78
44,42.95
45,43.15
46,43.16
47,43.3
48,43.33
49,43.36
50,43.38
51,43.42
52,46.19
53,46.73
54,46.73
55,46.77
56,46.77
57,46.84
58,47.31
59,47.31
60,47.31
61,47.33
62,47.33
63,47.33
64,47.33
65,47.33
66,47.39
67,47.47
68,47.47
69,47.48
70,47.54
71,47.62
72,47.62
73,47.68
74,47.68
75,47.68
76,48.0
77,48.06
78,48.06
79,48.14
80,49.19
81,49.28
82,49.28
83,49.28
84,49.28
85,49.28
86,49.28
87,49.28
88,51.75
89,51.9
90,51.98
91,51.98
92,52.02
93,52.03
94,52.03
95,52.03
96,52.03
97,52.03
98,52.14
99,52.14
100,52.14
