sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
*,20-39,White,spouse not present,Higher education,*,*,Other,<=50K
Male,40-59,White,*,Higher education,United-States,*,*,<=50K
Male,20-39,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Female,*,*,*,Higher education,North America,*,*,<=50K
Female,*,White,Married-civ-spouse,*,*,Non-Government,*,<=50K
Female,*,*,spouse not present,High School,North America,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Self-emp-not-inc,Nontechnical,>50K
Female,20-39,*,spouse not present,Higher education,United-States,Private,Technical,>50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,>50K
Male,20-39,*,*,Higher education,North America,Non-Government,*,>50K
*,*,*,*,Higher education,*,*,*,>50K
*,*,*,spouse not present,*,*,Private,*,<=50K
*,20-39,*,spouse not present,Higher education,*,Private,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Male,*,*,*,High School,*,Non-Government,*,<=50K
Male,*,*,Never-married,High School,North America,Non-Government,*,<=50K
Male,20-39,White,*,*,North America,Non-Government,*,<=50K
Female,*,White,*,Higher education,United-States,*,*,>50K
Male,35-39,White,Married-civ-spouse,Higher education,United-States,Private,Technical,>50K
Female,40-59,*,spouse not present,High School,North America,Private,*,<=50K
*,*,*,*,*,North America,*,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Other,<=50K
*,40-59,*,spouse not present,*,*,*,*,<=50K
*,*,White,Married-civ-spouse,Higher education,North America,*,*,>50K
Male,15-19,White,*,High School,United-States,Private,*,<=50K
Male,20-39,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,Technical,<=50K
Male,*,White,Never-married,*,United-States,Government,*,<=50K
Male,*,*,spouse not present,Undergraduate,North America,Non-Government,*,<=50K
Male,40-59,White,*,Higher education,North America,Non-Government,*,<=50K
Male,20-39,*,*,Undergraduate,*,Government,*,<=50K
Male,20-39,Black,*,*,North America,*,*,<=50K
Male,40-59,White,spouse not present,High School,*,Non-Government,*,<=50K
Male,*,White,Never-married,Some-college,North America,Non-Government,Technical,<=50K
*,*,White,*,HS-grad,United-States,*,Other,<=50K
Male,40-49,*,Married-civ-spouse,*,United-States,Non-Government,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Private,Technical,<=50K
Male,50-59,*,Married-civ-spouse,Higher education,United-States,Non-Government,*,<=50K
Male,20-39,*,Married-civ-spouse,Undergraduate,United-States,Private,*,<=50K
Female,*,*,spouse not present,High School,United-States,*,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
*,*,*,*,*,United-States,Government,*,>50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,Technical,<=50K
Female,*,White,*,Higher education,United-States,*,*,<=50K
Male,*,White,Married-civ-spouse,Assoc-voc,United-States,*,Craft-repair,<=50K
Male,*,White,spouse not present,Higher education,*,Private,*,<=50K
Female,*,*,*,Higher education,North America,*,*,<=50K
*,40-59,White,Married-civ-spouse,*,*,*,*,>50K
*,40-59,White,spouse not present,Higher education,*,*,Nontechnical,>50K
Male,*,White,spouse not present,High School,North America,Non-Government,*,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,Private,Technical,>50K
Male,*,*,*,*,*,Non-Government,*,<=50K
Male,20-39,*,*,*,*,Private,Other,<=50K
*,*,White,Married-civ-spouse,*,North America,Non-Government,*,<=50K
Male,*,White,*,High School,*,*,Technical,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Other,<=50K
Male,40-49,White,Married-civ-spouse,Graduate,United-States,Private,Technical,>50K
*,*,White,spouse not present,Higher education,United-States,*,Technical,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,<=50K
Female,*,White,*,Higher education,United-States,Non-Government,*,<=50K
Female,40-59,*,*,*,*,Non-Government,Other,>50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,>50K
Male,*,White,Never-married,Some-college,North America,Non-Government,Technical,<=50K
Female,*,*,spouse not present,*,North America,*,*,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,Nontechnical,>50K
Male,*,White,Never-married,Some-college,North America,Non-Government,Technical,<=50K
Male,60-79,White,Married-civ-spouse,*,United-States,Private,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,20-39,*,*,*,*,Private,Other,<=50K
Female,15-19,White,Never-married,High School,North America,Private,Other,<=50K
Male,*,White,Married-civ-spouse,*,North America,Government,Other,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,North America,Private,Other,<=50K
*,*,White,*,HS-grad,United-States,*,Other,<=50K
Male,*,*,Married-civ-spouse,High School,North America,Private,*,<=50K
*,40-59,*,spouse not present,*,*,*,*,>50K
Female,40-59,*,spouse not present,High School,*,Private,*,<=50K
*,*,*,*,High School,United-States,Government,Other,>50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
*,40-59,*,spouse not present,Higher education,United-States,*,*,>50K
Male,50-59,*,Married-civ-spouse,Higher education,United-States,Non-Government,*,<=50K
Female,20-39,White,spouse not present,*,North America,Non-Government,*,<=50K
*,*,*,spouse not present,*,North America,*,*,<=50K
Male,20-39,*,*,Undergraduate,*,Government,*,>50K
Male,*,White,spouse not present,Higher education,*,*,*,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Non-Government,Technical,>50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,>50K
Female,40-59,White,*,*,*,Non-Government,*,<=50K
*,20-39,*,spouse not present,High School,United-States,Government,*,<=50K
Male,60-79,White,*,Higher education,United-States,*,*,>50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,>50K
Female,40-59,White,spouse not present,Higher education,United-States,Non-Government,Technical,<=50K
*,*,White,spouse not present,*,*,*,*,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,>50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Female,*,*,*,*,*,*,Other,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Male,35-39,White,Married-civ-spouse,Higher education,United-States,Private,Technical,>50K
Male,40-59,White,Married-civ-spouse,High School,North America,Non-Government,Other,>50K
Female,*,White,Married-civ-spouse,*,*,Non-Government,*,<=50K
Female,20-39,White,spouse not present,High School,North America,Private,Technical,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,<=50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,<=50K
*,*,*,*,*,United-States,Government,*,>50K
*,40-59,*,Married-civ-spouse,Higher education,*,Private,Nontechnical,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
*,*,*,spouse not present,*,*,Private,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,20-39,White,*,*,*,Government,Technical,>50K
Male,*,*,*,Higher education,United-States,Non-Government,*,<=50K
*,*,*,Married-civ-spouse,*,North America,*,*,>50K
Female,15-19,White,Never-married,*,United-States,Private,Other,<=50K
Male,20-39,*,*,*,*,Private,Other,>50K
*,*,White,spouse not present,Higher education,United-States,*,Technical,<=50K
Female,20-39,White,*,*,United-States,Non-Government,Nontechnical,<=50K
Female,*,White,Never-married,High School,United-States,Private,Other,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,<=50K
Female,*,*,spouse not present,Higher education,*,*,Technical,<=50K
*,*,*,*,Higher education,*,*,*,>50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,Technical,<=50K
Female,20-39,White,spouse present,*,North America,Non-Government,Other,<=50K
Male,15-19,White,Never-married,*,United-States,*,Nontechnical,<=50K
Male,*,*,Married-civ-spouse,*,North America,Non-Government,*,>50K
Male,*,White,Married-civ-spouse,High School,United-States,*,*,<=50K
Female,20-39,White,*,*,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,Never-married,*,*,Non-Government,Other,<=50K
Female,*,*,spouse not present,*,North America,Non-Government,*,>50K
Male,*,White,spouse not present,*,North America,Non-Government,Technical,<=50K
Female,20-39,*,*,High School,*,Private,Other,<=50K
Male,*,*,*,*,United-States,Private,Other,<=50K
Female,*,White,*,HS-grad,*,Non-Government,Other-service,<=50K
Male,60-64,White,Married-civ-spouse,High School,*,Private,*,<=50K
Female,*,*,spouse not present,*,*,*,*,<=50K
Female,20-39,White,Never-married,HS-grad,North America,Private,Other,<=50K
*,*,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,Technical,<=50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Male,*,*,spouse not present,Undergraduate,North America,Non-Government,*,<=50K
Male,20-39,White,spouse not present,HS-grad,United-States,Private,Technical,<=50K
*,*,Black,*,*,North America,Private,*,<=50K
Female,*,White,Never-married,High School,United-States,Private,Other,<=50K
*,*,*,*,*,*,Non-Government,Nontechnical,<=50K
*,20-39,*,*,*,*,*,*,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Non-Government,Nontechnical,>50K
*,*,*,spouse not present,*,*,Private,*,<=50K
Male,*,White,*,Higher education,United-States,Government,*,<=50K
Male,*,*,spouse not present,Higher education,United-States,Government,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
*,*,*,spouse not present,*,North America,*,*,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,*,North America,Government,Other,<=50K
*,40-59,*,Married-civ-spouse,Higher education,*,Private,Nontechnical,>50K
Male,20-39,White,spouse not present,Undergraduate,United-States,Non-Government,*,<=50K
Male,20-39,White,*,*,*,Government,Technical,>50K
*,20-39,*,*,*,*,*,*,<=50K
Male,*,*,*,*,North America,*,*,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,*,White,spouse not present,HS-grad,United-States,Non-Government,Other,<=50K
Male,20-39,*,Married-civ-spouse,Undergraduate,United-States,Private,*,<=50K
Male,40-49,*,Married-civ-spouse,Higher education,*,*,*,>50K
Female,*,White,spouse not present,*,North America,*,Other,<=50K
Male,20-39,Black,Never-married,Higher education,*,*,*,<=50K
Male,*,White,*,High School,*,*,Technical,>50K
Male,*,White,*,*,*,*,Other,>50K
*,*,*,*,*,North America,*,*,<=50K
Female,*,White,*,Higher education,United-States,*,*,<=50K
Female,*,White,*,Higher education,United-States,Non-Government,*,<=50K
*,40-59,White,Married-civ-spouse,*,*,*,*,>50K
*,*,*,spouse not present,*,North America,*,*,<=50K
Male,20-39,*,Married-civ-spouse,Undergraduate,United-States,Private,*,<=50K
*,*,*,*,*,United-States,Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Some-college,North America,Private,Technical,<=50K
*,*,White,Married-civ-spouse,Higher education,North America,*,*,<=50K
Male,20-39,*,*,*,*,Private,Other,<=50K
*,*,White,spouse not present,Higher education,United-States,*,Technical,<=50K
*,20-39,*,*,*,*,*,*,>50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,*,>50K
Male,20-39,White,spouse not present,High School,*,Non-Government,Nontechnical,<=50K
Female,20-39,*,spouse not present,Higher education,United-States,Private,Technical,<=50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,>50K
Female,*,*,spouse not present,Higher education,*,*,Technical,<=50K
Female,*,White,spouse not present,HS-grad,North America,Government,*,<=50K
Female,*,*,spouse not present,*,*,Non-Government,*,<=50K
Male,*,*,*,*,United-States,Private,Other,>50K
Male,*,*,*,*,*,Private,*,<=50K
*,*,*,Married-civ-spouse,*,North America,*,*,>50K
Female,*,*,spouse not present,*,*,Non-Government,*,<=50K
*,*,*,*,*,North America,*,*,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,>50K
Female,20-39,*,spouse not present,Higher education,United-States,Private,Nontechnical,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,Technical,>50K
*,20-39,*,spouse not present,Higher education,*,Private,*,>50K
Female,40-59,*,spouse not present,Higher education,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,Private,Technical,<=50K
Male,*,*,Never-married,High School,North America,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Private,Nontechnical,<=50K
Male,*,*,Never-married,HS-grad,United-States,*,*,<=50K
*,*,Black,*,*,North America,Private,*,<=50K
*,40-59,White,spouse not present,*,United-States,Government,*,<=50K
Female,15-19,*,spouse not present,High School,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,*,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
*,*,*,spouse not present,*,*,Private,*,<=50K
Female,*,*,spouse not present,High School,North America,Private,Other,<=50K
Male,*,*,*,*,North America,*,*,<=50K
*,*,*,spouse not present,High School,*,Non-Government,*,<=50K
Male,20-39,*,spouse not present,*,North America,Non-Government,Other,<=50K
Female,*,*,*,*,*,Non-Government,*,<=50K
Male,*,White,spouse not present,Higher education,*,Private,*,>50K
*,*,*,*,High School,United-States,Government,Other,<=50K
Female,20-39,*,Never-married,Higher education,United-States,*,Adm-clerical,<=50K
Male,*,*,*,Higher education,*,Non-Government,Nontechnical,>50K
Male,*,White,*,*,*,*,*,>50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,20-39,*,Married-civ-spouse,Undergraduate,United-States,Private,*,>50K
*,*,White,*,HS-grad,United-States,*,Other,<=50K
Male,20-39,White,Married-civ-spouse,*,North America,Government,*,<=50K
*,*,White,spouse not present,Higher education,United-States,*,Technical,<=50K
*,*,White,Married-civ-spouse,*,North America,Non-Government,*,>50K
Female,*,White,Never-married,High School,United-States,Private,Other,<=50K
Male,30-39,White,Married-civ-spouse,Higher education,United-States,Private,Tech-support,>50K
*,*,White,Married-civ-spouse,Higher education,North America,*,*,>50K
Female,*,*,*,Higher education,North America,*,*,<=50K
*,*,*,*,*,North America,*,*,<=50K
Male,*,*,spouse not present,Higher education,United-States,Government,*,<=50K
Male,*,White,Never-married,*,*,Non-Government,Other,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,*,>50K
Female,*,White,Never-married,HS-grad,North America,Private,Other-service,<=50K
Female,20-39,*,*,High School,United-States,Non-Government,*,<=50K
Female,*,*,*,*,*,*,*,<=50K
Male,*,White,spouse not present,*,North America,Non-Government,*,<=50K
Female,20-39,White,spouse not present,*,North America,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,<=50K
Male,15-19,White,*,High School,United-States,Private,*,<=50K
*,40-59,*,Married-civ-spouse,Higher education,*,Private,Nontechnical,<=50K
Male,*,*,Married-civ-spouse,High School,North America,*,*,<=50K
Male,*,Asian-Pac-Islander,*,Higher education,*,*,*,>50K
Male,*,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,>50K
Female,30-39,White,Never-married,Bachelors,United-States,Non-Government,Technical,<=50K
*,20-39,*,*,*,*,*,*,>50K
Male,*,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,>50K
Male,15-19,White,*,High School,United-States,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,*,*,Other,<=50K
Male,20-39,*,spouse not present,*,North America,*,*,<=50K
Female,20-39,White,Divorced,HS-grad,United-States,Non-Government,*,<=50K
Male,40-59,*,*,*,North America,Non-Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Some-college,North America,Private,Technical,>50K
Female,20-39,White,spouse not present,*,North America,Non-Government,*,<=50K
Female,20-39,White,Never-married,Undergraduate,North America,Non-Government,*,<=50K
Female,*,White,*,Higher education,United-States,Non-Government,*,>50K
*,*,White,spouse not present,*,*,*,*,<=50K
*,*,White,Married-civ-spouse,Higher education,North America,*,*,>50K
Female,20-39,*,spouse not present,Higher education,United-States,Private,Nontechnical,<=50K
Female,*,White,spouse not present,*,United-States,Private,Technical,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,North America,Government,Nontechnical,>50K
Male,40-59,White,Married-civ-spouse,Professional Education,United-States,Private,*,>50K
*,*,*,Divorced,Undergraduate,*,Private,Other,<=50K
Female,20-39,White,spouse not present,*,North America,Non-Government,*,<=50K
Male,*,*,Married-civ-spouse,*,*,Non-Government,*,<=50K
Male,20-39,*,Married-civ-spouse,Undergraduate,United-States,Private,*,<=50K
Female,20-39,White,Divorced,HS-grad,United-States,Non-Government,*,<=50K
Male,*,*,spouse not present,*,North America,*,*,<=50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Female,20-39,Black,Never-married,Higher education,United-States,Non-Government,*,<=50K
Male,60-79,White,Married-civ-spouse,High School,North America,*,Other,<=50K
Female,20-39,White,spouse not present,*,North America,Non-Government,*,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,20-39,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,*,United-States,Private,Adm-clerical,>50K
Female,20-39,*,spouse not present,Higher education,North America,Non-Government,Other,<=50K
Male,20-39,White,Married-civ-spouse,*,United-States,Non-Government,Other,>50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,>50K
*,*,*,*,Higher education,*,*,*,<=50K
Female,*,*,spouse not present,High School,United-States,*,*,<=50K
Male,20-39,White,Never-married,Professional Education,United-States,Private,Technical,<=50K
Female,*,White,spouse not present,*,North America,*,Technical,<=50K
Male,20-39,*,*,*,*,Private,Other,>50K
Male,*,White,Married-civ-spouse,*,*,Non-Government,Other,>50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Male,*,Asian-Pac-Islander,*,Higher education,*,*,*,>50K
*,*,*,spouse not present,*,North America,*,*,>50K
Male,*,White,*,Undergraduate,*,Non-Government,*,<=50K
Male,20-29,White,Never-married,Higher education,United-States,Private,Technical,<=50K
Male,60-79,White,*,Higher education,United-States,*,*,<=50K
Female,*,*,*,*,*,Non-Government,*,<=50K
Female,20-39,White,Never-married,Undergraduate,North America,Non-Government,*,<=50K
Female,*,White,*,HS-grad,*,Non-Government,Other-service,<=50K
Male,*,White,Married-civ-spouse,High School,*,*,*,<=50K
Male,40-59,White,Married-civ-spouse,Some-college,North America,Private,Technical,<=50K
Male,*,White,spouse not present,*,North America,Private,Transport-moving,<=50K
*,*,*,spouse not present,*,*,Non-Government,Nontechnical,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,Non-Government,Technical,<=50K
Male,*,White,*,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
*,*,White,Married-civ-spouse,Higher education,North America,*,*,>50K
Male,40-59,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,spouse not present,HS-grad,United-States,Non-Government,Other,<=50K
*,*,Black,*,*,North America,Private,*,<=50K
Male,20-39,*,spouse not present,*,North America,Non-Government,Other,<=50K
Male,*,White,Never-married,*,*,Non-Government,Other,<=50K
*,*,*,*,High School,United-States,Government,Other,<=50K
Male,*,White,Married-civ-spouse,High School,United-States,Non-Government,Transport-moving,<=50K
Male,*,White,Never-married,*,*,Non-Government,Other,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Non-Government,*,<=50K
Male,40-59,White,spouse not present,Higher education,United-States,Non-Government,Technical,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,*,*,*,High School,North America,Non-Government,Other,<=50K
Male,*,*,Never-married,*,*,Private,*,<=50K
Male,20-39,White,Married-civ-spouse,*,United-States,*,*,>50K
