k,ncp
2,3.72
3,6.26
4,8.07
5,9.88
6,11.46
7,12.66
8,14.14
9,15.47
10,16.26
11,17.52
12,18.23
13,19.24
14,20.46
15,21.42
16,21.49
17,22.46
18,22.89
19,24.35
20,25.29
21,25.58
22,26.42
23,26.96
24,27.17
25,28.26
26,29.24
27,28.87
28,29.8
29,31.04
30,30.86
31,32.29
32,32.3
33,32.32
34,32.69
35,33.73
36,34.49
37,35.38
38,34.93
39,35.6
40,35.5
41,36.44
42,36.78
43,37.42
44,38.18
45,37.44
46,37.29
47,38.68
48,39.02
49,38.66
50,39.69
51,40.48
52,40.46
53,40.77
54,41.98
55,40.94
56,42.51
57,41.74
58,41.49
59,42.91
60,43.12
61,44.38
62,44.06
63,43.72
64,45.69
65,44.5
66,44.75
67,44.51
68,45.85
69,46.42
70,46.23
71,46.69
72,46.73
73,48.22
74,46.27
75,47.53
76,47.4
77,49.82
78,48.9
79,51.74
80,47.89
81,50.41
82,49.05
83,50.16
84,48.79
85,50.89
86,50.49
87,50.82
88,50.2
89,48.82
90,51.16
91,51.65
92,50.87
93,50.62
94,51.44
95,50.78
96,53.69
97,53.42
98,53.19
99,53.02
100,53.33
