k,ncp
2,1.57
3,2.84
4,3.99
5,5.02
6,5.93
7,6.90
8,7.57
9,8.44
10,9.14
11,9.87
12,10.65
13,10.93
14,11.57
15,12.34
16,12.68
17,13.06
18,13.98
19,14.47
20,14.98
21,15.76
22,15.97
23,16.13
24,16.82
25,17.61
26,17.71
27,18.00
28,18.77
29,18.38
30,19.44
31,20.02
32,20.29
33,20.43
34,20.78
35,22.09
36,21.81
37,21.87
38,22.69
39,22.37
40,23.04
41,23.52
42,23.88
43,24.68
44,24.67
45,24.62
46,25.77
47,25.47
48,25.65
49,26.88
50,25.85
51,26.49
52,25.91
53,26.55
54,27.52
55,27.96
56,29.20
57,27.84
58,28.35
59,28.71
60,29.92
61,29.70
62,29.93
63,31.93
64,30.09
65,29.41
66,29.33
67,30.62
68,32.95
69,31.24
70,33.73
71,33.74
72,34.36
73,32.14
74,33.69
75,32.37
76,35.01
77,35.12
78,34.76
79,35.32
80,32.95
81,33.82
82,36.78
83,36.34
84,35.07
85,38.58
86,37.56
87,37.51
88,39.77
89,38.33
90,36.22
91,37.94
92,40.08
93,37.42
94,40.09
95,39.80
96,36.83
97,40.66
98,41.65
99,41.14
100,40.46
