k,ncp
2,25.11
3,25.10
4,25.10
5,25.11
6,25.10
7,25.10
8,25.12
9,25.09
10,25.09
11,25.09
12,25.10
13,25.07
14,25.06
15,25.06
16,25.03
17,25.06
18,25.05
19,25.04
20,25.03
21,25.05
22,25.03
23,25.06
24,25.00
25,25.03
26,25.02
27,25.03
28,24.99
29,25.02
30,24.98
31,25.03
32,25.00
33,25.06
34,24.99
35,25.05
36,24.98
37,24.97
38,25.02
39,25.03
40,25.04
41,25.01
42,24.97
43,24.95
44,25.01
45,24.97
46,24.98
47,24.97
48,24.95
49,24.99
50,25.01
51,25.01
52,25.00
53,25.01
54,25.04
55,24.98
56,25.06
57,25.05
58,25.07
59,24.97
60,24.95
61,24.98
62,24.97
63,25.06
64,24.95
65,25.05
66,24.94
67,25.00
68,24.97
69,25.08
70,24.96
71,25.07
72,24.97
73,24.93
74,24.95
75,25.06
76,25.04
77,25.06
78,25.10
79,24.94
80,25.09
81,25.10
82,24.97
83,25.10
84,25.05
85,24.92
86,25.11
87,25.08
88,25.00
89,24.97
90,25.02
91,24.91
92,24.81
93,24.88
94,25.05
95,24.82
96,24.90
97,25.06
98,25.00
99,24.88
100,24.99
