k,ncp
2,25.11
3,25.11
4,25.11
5,25.11
6,25.11
7,25.11
8,25.11
9,25.11
10,25.12
11,25.12
12,25.12
13,25.13
14,25.12
15,25.12
16,25.13
17,25.11
18,25.12
19,25.13
20,25.13
21,25.12
22,25.12
23,25.11
24,25.14
25,25.14
26,25.14
27,25.13
28,25.10
29,25.12
30,25.12
31,25.12
32,25.13
33,25.13
34,25.07
35,25.14
36,25.13
37,25.12
38,25.15
39,25.12
40,25.13
41,25.13
42,25.16
43,25.12
44,25.12
45,25.19
46,25.15
47,25.13
48,25.09
49,25.13
50,25.15
51,25.11
52,25.14
53,25.12
54,25.10
55,25.17
56,25.12
57,25.13
58,25.16
59,25.17
60,25.15
61,25.18
62,25.17
63,25.11
64,25.15
65,25.13
66,25.15
67,25.18
68,25.22
69,25.16
70,25.11
71,25.15
72,25.08
73,25.21
74,25.16
75,25.15
76,25.19
77,25.12
78,25.18
79,25.13
80,25.18
81,25.12
82,25.17
83,25.19
84,25.22
85,25.13
86,25.11
87,25.16
88,25.20
89,25.18
90,25.20
91,25.13
92,25.13
93,25.10
94,25.19
95,25.13
96,25.13
97,25.14
98,25.22
99,25.10
100,25.14
