k,ncp
2,6.06
3,9.68
4,12.42
5,14.30
6,16.73
7,19.44
8,20.48
9,21.05
10,21.61
11,22.59
12,23.24
13,23.54
14,24.41
15,25.07
16,25.88
17,26.87
18,27.14
19,29.26
20,30.19
21,30.45
22,30.60
23,30.74
24,30.87
25,31.18
26,31.19
27,31.75
28,32.39
29,32.68
30,32.71
31,33.76
32,33.87
33,34.27
34,34.73
35,34.95
36,35.80
37,36.15
38,36.16
39,36.27
40,36.35
41,36.44
42,36.78
43,36.84
44,37.42
45,37.52
46,37.52
47,37.64
48,37.64
49,38.06
50,38.09
51,38.24
52,38.51
53,39.12
54,39.12
55,39.17
56,39.17
57,39.24
58,39.79
59,39.79
60,39.79
61,39.81
62,39.81
63,39.81
64,39.81
65,39.81
66,39.88
67,39.96
68,39.97
69,39.98
70,40.05
71,40.14
72,40.14
73,40.21
74,40.21
75,40.21
76,40.57
77,40.64
78,40.64
79,40.73
80,41.93
81,42.04
82,42.04
83,42.04
84,42.04
85,42.04
86,42.04
87,42.04
88,44.86
89,45.03
90,45.12
91,45.12
92,45.17
93,45.18
94,45.18
95,45.18
96,45.18
97,45.18
98,45.30
99,45.30
100,45.30
