sex,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,White,spouse not present,Undergraduate,United-States,Government,Adm-clerical,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,Black,Married-civ-spouse,High School,United-States,Private,Nontechnical,<=50K
Female,Black,Married-civ-spouse,*,North America,Private,*,<=50K
Female,White,Married-civ-spouse,Masters,United-States,Non-Government,Nontechnical,<=50K
Female,Black,spouse not present,High School,North America,Private,Other-service,<=50K
Male,White,Married-civ-spouse,HS-grad,*,Non-Government,Nontechnical,>50K
Female,White,Never-married,Masters,United-States,Non-Government,Prof-specialty,>50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,*,Married-civ-spouse,Some-college,United-States,Non-Government,Exec-managerial,>50K
Male,Asian-Pac-Islander,Married-civ-spouse,Higher education,Asia,Government,*,>50K
Female,White,spouse not present,Undergraduate,United-States,Private,Other,<=50K
Male,*,Never-married,Higher education,United-States,Private,Nontechnical,<=50K
Male,Amer-Indian-Eskimo,Married-civ-spouse,*,North America,Private,Other,<=50K
Male,White,spouse not present,HS-grad,United-States,Self-emp-not-inc,Other,<=50K
Male,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,White,Married-civ-spouse,11th,United-States,Private,Sales,<=50K
Female,White,spouse not present,Higher education,United-States,Non-Government,Nontechnical,>50K
Male,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Female,Black,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,Black,Married-civ-spouse,High School,United-States,Government,Other,<=50K
Male,White,Married-civ-spouse,High School,United-States,*,Transport-moving,<=50K
Female,White,spouse not present,HS-grad,North America,Private,Technical,<=50K
Male,White,Married-civ-spouse,Undergraduate,United-States,Local-gov,Technical,>50K
Male,White,spouse not present,High School,North America,Non-Government,Craft-repair,<=50K
Male,White,Divorced,*,North America,Private,Nontechnical,<=50K
*,White,*,HS-grad,United-States,Non-Government,Technical,<=50K
Male,White,Never-married,Higher education,United-States,Government,Other,<=50K
Male,Black,Never-married,Some-college,North America,Private,Nontechnical,<=50K
Male,White,Divorced,Bachelors,United-States,Private,Nontechnical,<=50K
Male,White,*,Higher education,United-States,Federal-gov,Other,<=50K
Male,Black,Married-civ-spouse,Undergraduate,United-States,State-gov,Other,<=50K
Male,White,Never-married,High School,North America,Private,Technical,<=50K
Male,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Female,White,spouse present,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,White,Married-civ-spouse,Higher education,United-States,Self-emp-not-inc,Technical,<=50K
Male,White,Married-civ-spouse,9th,United-States,Private,Machine-op-inspct,<=50K
Male,White,*,Higher education,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Male,White,Married-civ-spouse,*,*,Private,*,<=50K
Female,White,Separated,HS-grad,United-States,Private,Other,<=50K
Male,White,spouse not present,HS-grad,United-States,Private,Nontechnical,<=50K
Male,Black,*,Higher education,North America,Government,Technical,>50K
*,White,*,HS-grad,United-States,Non-Government,Technical,<=50K
Female,White,spouse not present,Masters,United-States,Non-Government,Exec-managerial,<=50K
Male,White,Married-civ-spouse,Higher education,United-States,State-gov,Technical,<=50K
Male,White,Never-married,Assoc-voc,United-States,Private,Prof-specialty,<=50K
Female,*,Married-civ-spouse,Higher education,United-States,*,Exec-managerial,<=50K
Female,White,Married-civ-spouse,Prof-school,North America,Private,Prof-specialty,>50K
Male,White,Divorced,Undergraduate,*,*,Exec-managerial,>50K
Male,White,Divorced,HS-grad,United-States,Self-emp-inc,Exec-managerial,<=50K
Male,White,Married-civ-spouse,Undergraduate,*,Non-Government,Technical,>50K
Male,White,Married-civ-spouse,5th-6th,North America,Private,Machine-op-inspct,<=50K
Male,White,Married-civ-spouse,Higher education,*,Non-Government,*,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Private,Other,<=50K
*,White,*,HS-grad,United-States,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Non-Government,Transport-moving,<=50K
Male,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Male,White,Divorced,Some-college,United-States,Private,Tech-support,<=50K
*,White,*,HS-grad,United-States,Non-Government,Technical,<=50K
Female,White,Divorced,Undergraduate,*,Private,*,<=50K
Female,White,Married-civ-spouse,High School,United-States,Private,Other,>50K
Male,White,Married-civ-spouse,Higher education,United-States,Self-emp-inc,Exec-managerial,>50K
Male,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K
Female,Black,spouse not present,Undergraduate,United-States,Private,Sales,<=50K
Male,White,Married-civ-spouse,Bachelors,North America,Self-emp-not-inc,Sales,>50K
Male,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,<=50K
Male,White,spouse not present,High School,North America,Private,Other,<=50K
Male,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Female,White,Never-married,11th,United-States,Non-Government,Other-service,<=50K
Male,White,Married-civ-spouse,High School,North America,Local-gov,Other,<=50K
Male,White,Never-married,HS-grad,North America,Private,Sales,<=50K
Male,White,Married-civ-spouse,Bachelors,North America,Private,Other-service,<=50K
Female,*,Married-civ-spouse,*,United-States,Private,Other-service,<=50K
Male,White,spouse present,HS-grad,United-States,Private,Sales,<=50K
Female,White,Divorced,HS-grad,North America,Private,Craft-repair,>50K
Female,White,Divorced,HS-grad,North America,Private,Sales,<=50K
Male,White,Married-civ-spouse,High School,United-States,Government,Other,>50K
Male,White,Married-civ-spouse,Masters,North America,Private,Technical,<=50K
Male,White,spouse not present,High School,United-States,Private,Nontechnical,<=50K
Female,White,*,Higher education,*,Government,Prof-specialty,>50K
Male,White,Married-civ-spouse,Assoc-voc,North America,Private,Technical,<=50K
Female,White,Divorced,*,North America,Private,*,<=50K
Female,Black,Divorced,Some-college,United-States,Private,Technical,<=50K
Male,White,Married-civ-spouse,Higher education,United-States,Government,Protective-serv,>50K
Male,White,Never-married,Higher education,United-States,Government,Nontechnical,<=50K
Male,White,Married-civ-spouse,Higher education,North America,Self-emp-not-inc,Prof-specialty,>50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Female,White,spouse not present,*,Europe,Non-Government,*,<=50K
Male,Black,spouse not present,HS-grad,United-States,*,Other-service,<=50K
Male,White,Married-civ-spouse,Graduate,North America,Private,Exec-managerial,>50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,White,spouse not present,Masters,United-States,Non-Government,Technical,<=50K
Female,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Male,White,spouse not present,High School,North America,Non-Government,Craft-repair,<=50K
Male,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,>50K
Male,White,Never-married,11th,United-States,Non-Government,Nontechnical,<=50K
Female,White,spouse not present,High School,United-States,Local-gov,Adm-clerical,<=50K
Male,White,Married-civ-spouse,HS-grad,North America,Private,Handlers-cleaners,<=50K
Male,White,Never-married,Bachelors,North America,Private,Nontechnical,<=50K
Male,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Male,White,Married-civ-spouse,HS-grad,North America,Self-emp-not-inc,Other-service,>50K
Female,White,Married-civ-spouse,Some-college,United-States,Private,Nontechnical,<=50K
Female,White,Never-married,HS-grad,United-States,Non-Government,Machine-op-inspct,<=50K
Male,White,Married-civ-spouse,High School,United-States,Non-Government,Handlers-cleaners,<=50K
Male,*,Married-civ-spouse,*,North America,Self-emp-inc,Sales,<=50K
Male,Black,Married-civ-spouse,*,United-States,Government,Technical,>50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Male,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Female,White,spouse not present,Some-college,*,Private,Other-service,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K
Male,*,spouse not present,Higher education,*,Private,Nontechnical,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
Male,Black,Never-married,Higher education,United-States,Non-Government,*,<=50K
Female,White,Married-civ-spouse,Bachelors,United-States,Non-Government,Exec-managerial,>50K
Female,White,spouse not present,Undergraduate,United-States,Private,Other,<=50K
Male,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,>50K
Male,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,White,Never-married,Professional Education,United-States,Private,Sales,<=50K
Female,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,White,Married-civ-spouse,High School,North America,Self-emp-not-inc,Craft-repair,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Female,Black,Divorced,Higher education,United-States,Private,Technical,<=50K
Male,White,Married-civ-spouse,Higher education,*,Federal-gov,Prof-specialty,>50K
Male,White,Married-civ-spouse,High School,North America,Self-emp-not-inc,Craft-repair,<=50K
Female,White,Married-civ-spouse,Professional Education,North America,Private,Other,<=50K
Male,White,Never-married,Some-college,*,Private,Nontechnical,<=50K
Male,Asian-Pac-Islander,Married-civ-spouse,Undergraduate,United-States,Non-Government,Technical,>50K
Male,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
Female,White,spouse not present,Some-college,*,Private,Sales,<=50K
Male,White,spouse not present,Undergraduate,*,Non-Government,*,<=50K
Female,White,Never-married,Higher education,United-States,Private,Technical,>50K
Male,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Female,Black,Never-married,High School,United-States,Private,Other,<=50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Other-service,<=50K
Female,White,spouse not present,HS-grad,United-States,Non-Government,Other-service,<=50K
Male,White,Married-civ-spouse,11th,United-States,Private,Craft-repair,<=50K
Female,White,Divorced,Undergraduate,North America,Local-gov,Adm-clerical,<=50K
Female,White,Never-married,HS-grad,North America,Private,Other,<=50K
Female,Asian-Pac-Islander,Never-married,*,Asia,Private,Nontechnical,<=50K
Male,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,White,Never-married,Bachelors,North America,Private,Nontechnical,<=50K
Male,Black,spouse not present,Undergraduate,United-States,*,Nontechnical,<=50K
Male,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Male,Black,spouse not present,Undergraduate,United-States,Non-Government,Other,<=50K
Female,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,*,Divorced,Higher education,United-States,*,*,<=50K
Female,*,Never-married,*,*,Private,*,<=50K
Male,White,Married-civ-spouse,Graduate,United-States,Self-emp-not-inc,Sales,>50K
Female,White,Divorced,Some-college,North America,Private,Other-service,<=50K
Male,White,spouse not present,*,United-States,Federal-gov,Nontechnical,<=50K
Male,White,spouse not present,Higher education,United-States,Government,Other,<=50K
Male,White,Never-married,11th,United-States,Non-Government,Nontechnical,<=50K
Female,White,Widowed,Higher education,United-States,Local-gov,Prof-specialty,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,Married-civ-spouse,High School,United-States,Government,Other,<=50K
Male,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K
Male,White,Never-married,Bachelors,United-States,Private,Craft-repair,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
Female,White,spouse not present,HS-grad,United-States,Private,Nontechnical,<=50K
Male,Black,Never-married,HS-grad,*,Private,*,<=50K
*,*,Never-married,HS-grad,United-States,*,Nontechnical,<=50K
Male,White,Never-married,HS-grad,United-States,*,*,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,Black,Married-civ-spouse,Higher education,United-States,Government,*,>50K
Female,White,Divorced,Higher education,United-States,Private,Adm-clerical,<=50K
Male,Black,spouse not present,*,United-States,Private,Craft-repair,<=50K
Male,White,Married-civ-spouse,7th-8th,North America,Non-Government,Machine-op-inspct,>50K
Male,White,*,Higher education,United-States,Federal-gov,Other,>50K
Male,Black,Married-civ-spouse,High School,United-States,Private,Other,<=50K
Female,White,spouse not present,Higher education,United-States,Non-Government,Nontechnical,<=50K
Female,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,<=50K
Male,White,Married-civ-spouse,Doctorate,United-States,State-gov,Prof-specialty,>50K
Female,Black,Divorced,Some-college,United-States,Private,Technical,<=50K
Male,White,Married-civ-spouse,Undergraduate,North America,Private,Technical,<=50K
Male,Black,*,Higher education,North America,Government,Technical,<=50K
Male,White,Married-civ-spouse,Undergraduate,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,Undergraduate,United-States,Federal-gov,Technical,<=50K
Male,White,Married-civ-spouse,Primary School,Mexico,Private,Other,<=50K
Male,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,White,Never-married,Masters,United-States,Government,Exec-managerial,>50K
Male,White,Married-civ-spouse,Masters,North America,Private,Technical,>50K
Male,White,Never-married,High School,United-States,Self-emp-not-inc,Nontechnical,<=50K
Female,White,Never-married,Masters,United-States,Non-Government,Prof-specialty,<=50K
Male,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,White,Never-married,Undergraduate,North America,Local-gov,Technical,<=50K
Female,White,Divorced,High School,United-States,Government,Adm-clerical,<=50K
Female,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,*,Married-civ-spouse,Higher education,United-States,Private,Other,>50K
Male,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Female,*,Married-civ-spouse,High School,United-States,*,*,>50K
Female,White,*,*,*,Private,Nontechnical,<=50K
Male,Black,Married-civ-spouse,High School,United-States,Government,Other,<=50K
Male,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Female,*,Never-married,Undergraduate,*,Private,Nontechnical,<=50K
Male,Asian-Pac-Islander,Married-civ-spouse,HS-grad,*,Non-Government,Technical,<=50K
Male,White,Married-civ-spouse,7th-8th,North America,Non-Government,Machine-op-inspct,>50K
Male,Black,Never-married,Bachelors,United-States,Private,Nontechnical,>50K
