k,ncp
2,1.98
3,3.41
4,4.66
5,5.74
6,6.47
7,7.61
8,8.28
9,9.07
10,9.99
11,10.88
12,11.05
13,11.71
14,12.33
15,13.22
16,14.41
17,14.20
18,15.21
19,15.27
20,15.97
21,16.16
22,16.69
23,17.42
24,17.90
25,18.12
26,18.91
27,19.50
28,20.06
29,19.89
30,20.47
31,20.59
32,21.60
33,20.98
34,22.05
35,21.93
36,22.91
37,23.54
38,23.51
39,23.99
40,24.79
41,24.79
42,24.25
43,25.45
44,27.80
45,26.24
46,25.98
47,26.36
48,26.74
49,26.84
50,27.99
51,28.13
52,27.24
53,28.61
54,29.61
55,28.07
56,28.57
57,29.89
58,29.04
59,31.16
60,29.77
61,31.61
62,30.82
63,31.80
64,31.99
65,31.88
66,32.32
67,31.44
68,31.97
69,33.42
70,34.03
71,34.02
72,32.94
73,34.49
74,33.67
75,33.36
76,35.10
77,34.29
78,34.97
79,34.54
80,34.78
81,35.81
82,34.65
83,35.75
84,34.67
85,36.37
86,35.30
87,36.05
88,36.50
89,37.98
90,36.94
91,37.76
92,39.20
93,37.19
94,37.71
95,39.06
96,39.19
97,38.78
98,37.23
99,39.75
100,38.09
